GeneName;baseMean;log2FC;pval;padj
Calu;1316.700947;0.367906206;1.12851E-09;2.93877E-07
Col11a1;85.06607862;1.140473808;1.69559E-09;4.33061E-07
Cacna1g;78.66968339;1.156763943;3.71204E-09;9.30181E-07
Gm23935;576.5722616;-0.472517804;1.76026E-08;4.32925E-06
Deptor;53.8014552;1.295783284;1.90088E-08;4.59011E-06
C1s1;218.4339081;0.717318221;3.78884E-08;8.98564E-06
Rplp0;954.1389183;-0.335774798;4.53509E-08;1.05668E-05
Grn;545.3674176;0.479394402;7.39227E-08;1.6927E-05
Mmp3;117.2273929;-1.190556345;9.13368E-08;2.05601E-05
mt-Co1;7412.226483;0.168929199;1.01465E-07;2.24592E-05
Notch3;151.0625303;0.806044902;1.44373E-07;3.14331E-05
1190002N15Rik;110.8907771;0.906631315;2.0693E-07;4.38923E-05
C4b;13.74926077;2.049503739;2.08209E-07;4.38923E-05
Apob;86.50078409;-1.393004618;2.51569E-07;5.18331E-05
Cxcl5;1100.538656;0.345308908;2.53682E-07;5.18331E-05
Gbp3;49.67667697;1.245725508;2.75107E-07;5.53591E-05
Pkm;2066.394336;-0.191032612;2.84168E-07;5.63288E-05
Sfrp1;30.3081531;-3.334471247;3.05562E-07;5.9679E-05
Sema3c;955.3345062;0.35999281;4.38049E-07;8.36171E-05
Tpm1;796.9191103;-0.340125377;4.4072E-07;8.36171E-05
Ptgs2;471.0018506;-0.467197308;4.54806E-07;8.50744E-05
Marcks;425.6890694;0.50252542;4.94524E-07;9.12191E-05
Apoe;49.25822121;1.222791645;5.72616E-07;0.000103242
Ccdc80;212.7548656;0.669467556;5.75251E-07;0.000103242
Cthrc1;36.40565135;1.371856484;6.68453E-07;0.00011837
Pcnx;234.9928004;0.630228014;1.01004E-06;0.000176505
Htra1;367.762836;0.520555919;1.09477E-06;0.000188827
Gpnmb;376.0123925;0.506576662;1.83174E-06;0.000311889
Itm2a;71.7352736;1.009781107;1.9159E-06;0.000322089
Fgf10;89.78865079;-1.213477094;2.09631E-06;0.000348013
Lipa;207.8529553;0.63606279;3.33111E-06;0.000546179
Dclk1;110.9505565;0.825357424;3.52524E-06;0.000570959
Plac8;53.50255823;-1.672840271;3.9455E-06;0.000631327
Lars2;501.7882389;-0.401962476;4.27031E-06;0.000675166
Cdo1;32.69932888;1.342767267;4.56338E-06;0.000713015
Plpp3;131.5744477;0.760921277;4.63128E-06;0.00071521
Ncl;913.3095918;-0.274628016;5.53932E-06;0.000845605
Gapdh;788.1633944;-0.264179299;7.35812E-06;0.001110491
Cd47;460.2415596;0.439783775;8.20144E-06;0.001223857
Ptx3;179.9957574;0.649642938;9.13957E-06;0.001348696
Hspa4l;663.6110602;-0.322967274;9.9956E-06;0.001450192
Cdh11;307.4454268;0.516524858;1.00985E-05;0.001450192
Fras1;50.27447092;1.096992209;1.01549E-05;0.001450192
Rpsa;663.7903984;-0.31996941;1.1634E-05;0.001643742
Colec12;265.4802917;0.541914264;1.40264E-05;0.001960889
Hspa8;1520.728021;-0.187435902;1.43129E-05;0.001980107
Fam198b;42.50314961;1.149316939;1.7126E-05;0.002344851
Ccl2;430.2920828;-0.40435238;1.88239E-05;0.002551017
Ifit1;55.17638128;1.028913305;1.92391E-05;0.002574538
Anxa1;720.7003821;0.352184121;1.93851E-05;0.002574538
Ptprb;86.62034288;-1.081536617;1.97083E-05;0.002591549
Igfbp7;521.5752185;-0.358122973;2.02586E-05;0.002637793
Efemp1;124.8193761;0.730805158;2.12588E-05;0.002741141
Phldb2;358.676368;0.467111083;2.3295E-05;0.002974813
Clu;54.51880794;1.01759739;2.77944E-05;0.003515597
Plekhg5;49.19844181;1.058880578;2.91273E-05;0.003649433
Pcdh17;155.6655437;-0.727835206;2.95755E-05;0.003670949
Rnf213;243.2423569;0.54378584;2.98547E-05;0.003671294
Bmp4;51.52983821;1.029887172;3.55426E-05;0.00433065
Aebp1;880.0722483;0.315496978;3.66943E-05;0.004430333
Chodl;4.064998838;2.672037749;3.7547E-05;0.004444884
Sema5a;218.1947905;-0.582677869;3.77398E-05;0.004444884
Lamb1;492.9408885;0.400052292;3.78188E-05;0.004444884
Timp3;378.5231271;0.442050584;4.71491E-05;0.005466705
Hmga2;87.15835743;-1.012677581;4.73361E-05;0.005466705
Rpl4;585.5391708;-0.314094041;4.99526E-05;0.005719143
Crim1;368.5997475;-0.411050189;5.97377E-05;0.006780996
Daam2;89.42997443;-0.977785792;6.08352E-05;0.006847052
Ltbp1;739.4113327;-0.267712636;6.21588E-05;0.006937239
Thbs1;533.8299944;0.377614336;6.33485E-05;0.007011091
Zbtb20;787.2348484;0.321655803;6.41042E-05;0.007036096
Epas1;57.56755707;0.950167574;7.47248E-05;0.008134595
Palld;1128.515413;0.275897174;7.55799E-05;0.008160782
Nsg1;39.63373867;-1.654998958;8.06825E-05;0.008641488
Hsp90ab1;2133.227699;-0.130633737;8.38798E-05;0.008912065
Itih2;12.61345228;1.714103701;9.37693E-05;0.00988373
Ilf2;301.5870461;-0.448299879;9.59395E-05;0.010032856
Nrp2;602.8154159;-0.293183297;9.98424E-05;0.010359428
Dpy19l1;630.254158;-0.283516512;0.000107953;0.011114177
Aspn;17.63492143;1.493666151;0.000114398;0.011687028
Gm26917;312.5266753;-0.432119702;0.000117245;0.01188654
Tmprss11a;4.184557627;2.522087673;0.000121928;0.012255091
Helz2;98.87511878;0.739996702;0.000122726;0.012255091
Prss12;10.70051165;1.794985555;0.000130466;0.01293072
Hmox1;151.8994419;0.615436082;0.000132614;0.012993463
Tfrc;398.1307685;-0.369526486;0.000133056;0.012993463
Sec62;311.6897638;0.452559502;0.000146097;0.014162846
Ifih1;37.12300409;1.096211889;0.000150964;0.014464391
Ppia;773.4855876;-0.242883373;0.000151385;0.014464391
Cd109;12.61345228;1.671992864;0.000156938;0.014887785
Hspg2;974.5236919;0.281766143;0.000159471;0.015020802
Il18rap;22.35749361;-2.433619665;0.000162657;0.015212969
Calr;1339.895352;0.247256589;0.000173246;0.016090098
P4ha1;320.0588791;0.443187808;0.000174541;0.016097725
Ptn;50.93204426;0.955269524;0.000176972;0.016209459
Rnd3;175.4525234;0.569526516;0.000179933;0.016367709
Serpina3n;187.5279611;0.549965709;0.000203306;0.01827468
Ifit3;26.12359547;1.242073186;0.000204477;0.01827468
Wisp2;94.03298782;0.734599832;0.000205024;0.01827468
Ddx3x;1035.558454;-0.196224947;0.000208607;0.018470054
Heph;35.09050467;-1.651714638;0.000211829;0.018631129
Lgals1;580.8165986;-0.282064339;0.0002143;0.018724474
Shmt2;330.1615968;-0.397955522;0.00021688;0.018826032
Heg1;141.4978272;0.616227403;0.000220749;0.019037434
Sfrp2;162.4206153;0.58106752;0.000223567;0.019156088
Dst;701.6905346;-0.248935024;0.000233193;0.019638146
Pabpc1;1449.112306;-0.155567689;0.000233478;0.019638146
Tenm3;169.1159075;0.569813281;0.000233629;0.019638146
Tnc;748.3782419;0.306148756;0.000245061;0.020469542
Fbln5;202.4728097;0.523244509;0.000274576;0.022791548
mt-Nd2;2856.259477;-0.093405822;0.000293199;0.024186206
Flnb;1053.133596;-0.188026639;0.000296021;0.024268231
Antxr1;153.6330443;0.582095179;0.000321814;0.026220925
Agrn;175.4525234;0.549600782;0.000330149;0.026736056
Cald1;1461.486641;0.230573541;0.000336919;0.027118882
Slc38a1;111.7276886;-0.738807369;0.000341325;0.027308088
Ptgs1;192.967886;-0.528403483;0.000350627;0.027742281
Slc30a4;317.4285857;-0.391025556;0.000351228;0.027742281
Gas1;443.5033291;0.37136288;0.000353019;0.027742281
Adamts5;103.7770291;0.680552159;0.00037036;0.028804402
Foxg1;209.4669989;0.506490058;0.000370872;0.028804402
Itga3;355.9862953;-0.362588072;0.000375306;0.028979294
Stat2;61.21410014;0.846034638;0.000387027;0.029711572
Thbd;25.34646334;1.206757036;0.000418669;0.031956032
Irgm1;94.75034055;0.700450875;0.000430054;0.032637439
Hspd1;487.5607429;-0.293762792;0.000457083;0.034491575
Ptprs;575.7951295;0.328040185;0.000462853;0.034729644
Lmo7;118.1838633;0.63479473;0.00047003;0.034927
Nid2;215.9829529;0.492485981;0.000471752;0.034927
Sema3d;11.77654075;1.616547978;0.000475956;0.034927
Layn;42.74226719;-1.324729519;0.000476002;0.034927
Fth1;1730.135241;0.211220198;0.000504136;0.036788087
Plk2;236.0090502;-0.444140101;0.000617118;0.044506705
Cxcl12;107.6626898;0.648511276;0.000617141;0.044506705
Huwe1;878.6375429;-0.19675438;0.000619964;0.044506705
Mrc2;292.9190339;0.421857428;0.000712399;0.050867596
Galnt7;121.0532742;-0.652988193;0.000749593;0.053237136
Gtf2i;347.9758564;-0.342511688;0.000791218;0.05575732
Cadm1;504.7772086;-0.272420272;0.000793474;0.05575732
Serpinb9;164.7520117;-0.536963231;0.000816416;0.057067502
Limch1;22.4770524;-1.972927133;0.000854173;0.059394123
Plcg2;64.08351109;-0.955286882;0.000860598;0.059529181
Lgmn;214.1297917;0.473627671;0.000890372;0.061269606
Lrrk2;202.353251;-0.458859584;0.001125457;0.077047374
Sik3;140.1826805;-0.57061551;0.001168525;0.07958557
Eif2ak2;177.4850228;0.501105469;0.001214351;0.082284644
Atp1b1;432.0854647;-0.286290081;0.001233389;0.083150427
Tsc22d2;264.3444832;0.42168378;0.001309935;0.087864913
Cilp2;12.01565833;1.501217235;0.001349612;0.090071346
Slfn9;273.1320542;0.413920354;0.001399172;0.092911999
Pltp;26.48227184;1.093737041;0.001414445;0.093314497
Samd9l;55.35571946;0.807518534;0.001419475;0.093314497
Serpina3h;33.53624041;0.99249188;0.001433003;0.093314497
Timp2;1176.279149;0.229023861;0.001433338;0.093314497
Col6a2;277.6155088;0.410074817;0.001447171;0.09375549
Klf4;52.06785276;0.824919863;0.001499386;0.096411771
Pdlim5;226.8030234;0.444927539;0.001502691;0.096411771
Efnb2;233.856992;-0.40707774;0.001517176;0.096873172
Dsp;20.02609721;-1.988833619;0.001558226;0.099018166
Igfbp2;60.25762983;0.772718799;0.001591045;0.100622231
Lrp1;1432.792531;0.209593096;0.001731343;0.108901041
Slc26a2;47.106163;0.850220325;0.00173835;0.108901041
Wnk1;718.1896476;-0.199179704;0.001785749;0.111345238
Ppa1;276.5394797;-0.359936005;0.001833474;0.113657029
Smpd3;35.68829862;-1.281328598;0.001839941;0.113657029
Mme;53.98079339;0.799225945;0.001858507;0.114272354
Robo2;1.016249709;3.479843584;0.001933778;0.118352547
Enpep;107.0051165;0.597486627;0.001958301;0.119303659
Hlf;210.1245723;0.449062931;0.002007294;0.121729998
Fasn;313.6624838;-0.32955571;0.002022085;0.12206957
Tcf4;179.9957574;0.477580262;0.002091176;0.125669295
Arhgap28;14.5263929;-2.477800312;0.002139774;0.12782411
Trim30a;24.03131666;1.102121279;0.002146282;0.12782411
Fgd3;134.4438586;-0.542732726;0.002285011;0.135478714
Ldlr;54.27969036;-0.94599621;0.002338476;0.138013359
Pdgfrl;30.3081531;0.995600021;0.002348544;0.138013359
Ahcyl1;455.0407522;0.321855824;0.002360168;0.138085409
Stag3;15.18396625;-2.337313997;0.002387712;0.139084197
Cryab;184.7183295;-0.445336206;0.002398685;0.139113231
Sod2;293.4570484;-0.3349482;0.002479749;0.142728827
Asap1;317.3688063;-0.319238722;0.002482521;0.142728827
Slc8a1;41.06844414;0.873236602;0.002529011;0.144774966
Igf1;16.8577893;1.2535407;0.002547656;0.145183231
Lurap1l;40.76954717;0.875051156;0.002558006;0.145183231
Vcp;501.7882389;-0.238440669;0.002640155;0.14920806
Mybbp1a;296.0873418;-0.330003908;0.002677261;0.150664006
Col24a1;9.385364963;1.568408701;0.002714599;0.152120636
Rtp4;42.32381143;0.855656645;0.002777817;0.15500919
Smarca4;244.1390478;-0.368413342;0.002842167;0.157936507
Uba1;550.2693279;-0.222383958;0.002883776;0.159580966
Adam17;204.2661916;0.439964273;0.002956983;0.162953069
Id3;56.43174857;0.754193701;0.002996273;0.164435953
Edil3;33.83513738;0.929808532;0.003101161;0.16949186
Ddx58;87.87571017;0.622832647;0.003196838;0.173663634
Pkd2;820.0537361;-0.169168468;0.003216556;0.173663634
Lipo3;11.65698196;-2.825899083;0.00321672;0.173663634
Casp12;95.04923753;-0.639898452;0.003307399;0.17783629
Klf9;66.1757899;0.698231344;0.003375281;0.180754464
App;1131.803279;0.217728772;0.003419532;0.182388784
Msn;828.4228513;-0.165985453;0.003508863;0.186305668
Tnfrsf25;5.858380678;1.836217397;0.003521024;0.186305668
Foxo1;52.78520549;0.759232427;0.003808659;0.200113055
mt-Nd5;3022.745092;0.151273785;0.003823613;0.200113055
Aplp2;477.0993489;-0.23436917;0.003827175;0.200113055
B2m;247.8453703;0.396546047;0.00384609;0.20031343
Prelp;19.42830327;1.143303818;0.003878448;0.201209632
Ch25h;8.309335859;1.595672051;0.003909498;0.202031295
Tcn2;48.42130968;0.784253669;0.003961601;0.203930316
Rps4x;384.9195223;-0.265901783;0.004065147;0.208327459
Lama4;14.64595169;1.274524676;0.004078393;0.208327459
Col23a1;33.41668162;-1.197629688;0.004163827;0.21187657
Plod2;341.8783581;0.344089708;0.004242007;0.215030902
Npc2;250.2365461;0.391192081;0.00427255;0.21575564
Apol9b;36.82410712;0.870982816;0.004363333;0.218026889
Ahnak;2153.433134;0.168463858;0.004365078;0.218026889
Csf1;653.9865777;0.264035937;0.004366776;0.218026889
Apol9a;60.79564438;0.705660846;0.004436523;0.220679649
Phgdh;540.5252866;-0.2119487;0.004454589;0.22075146
Amigo2;16.91756869;-1.917427259;0.004501878;0.221911653
Nono;427.1237749;-0.245591651;0.004511418;0.221911653
Hnrnpa1;750.1118443;-0.17073266;0.004549092;0.222939059
Fabp5;146.5192963;-0.469198321;0.004756093;0.232226723
Lama2;24.98778697;1.012130712;0.004824984;0.234727518
Cobll1;257.649191;-0.332238797;0.004857237;0.235142317
Eif3c;410.624662;-0.249023628;0.004868921;0.235142317
Slc26a7;4.244337022;2.012107855;0.004916765;0.236412369
Myh9;1734.917592;0.18024078;0.00493082;0.236412369
Ptgds;20.92278813;-1.608897639;0.004967285;0.237304018
Sptbn1;661.5187814;0.259441871;0.005049349;0.239089316
Maged1;603.4132098;-0.193814664;0.005058402;0.239089316
Nab2;66.41490748;0.671540405;0.005058663;0.239089316
Slc6a6;403.6304728;0.316093213;0.005096019;0.23949864
Car5b;142.5140769;-0.472351045;0.005114602;0.23949864
Slc4a4;22.53683179;1.049778143;0.005121423;0.23949864
Plekhg1;5.49970431;1.821953046;0.005142756;0.239652439
Hacd2;94.92967874;-0.601020505;0.005298417;0.246042929
Nav2;38.85660654;-1.045806241;0.0053478;0.247470844
Cct6a;362.6218081;-0.265326752;0.005373821;0.247650951
Lifr;175.8111997;0.443360473;0.005388986;0.247650951
Ran;568.0835876;-0.199281692;0.005451248;0.249648344
Nsd1;81.41953554;-0.655170738;0.005572113;0.254306657
Nsd2;264.7031596;-0.319395428;0.005708068;0.259619338
Gng12;274.3276421;0.365428584;0.005859738;0.265608124
Sntb2;348.5736503;0.330921677;0.005901033;0.265949402
Ifit3b;12.19499651;1.325166356;0.005907317;0.265949402
Rplp1;169.7734809;-0.415725249;0.005970246;0.267874445
Atp5b;823.1622646;-0.153696901;0.005999339;0.268273451
Hdgf;467.4150869;-0.222231832;0.006054945;0.269851443
Pmp22;72.21350876;0.636330211;0.006114992;0.271616078
Tnfrsf26;14.5861723;-2.030007179;0.006238529;0.275280609
Rrbp1;412.0593675;0.307441502;0.006238948;0.275280609
Xpot;295.2504303;-0.293984967;0.006357559;0.279585245
Irgm2;29.47124157;0.920520904;0.006395429;0.280277977
Trim30d;12.73301106;1.292028424;0.006442995;0.280277977
Chd3;239.8349314;-0.33326914;0.006447281;0.280277977
Npnt;21.10212632;-1.528846882;0.006483479;0.280277977
Fndc3c1;30.36793249;0.907745335;0.006499594;0.280277977
Col4a4;67.84961295;0.649186588;0.006499934;0.280277977
Mlec;695.4136982;-0.169650901;0.006552042;0.280717511
Clcn5;181.0717865;-0.394435029;0.0065524;0.280717511
Fstl1;2014.744939;0.16670884;0.006600629;0.281874436
Bst2;28.15609489;0.929563359;0.006995494;0.297779343
Picalm;377.2677598;0.314515257;0.007118722;0.302056688
Slc38a2;1078.181162;0.20777732;0.007232655;0.304963861
Bsg;616.7440148;0.257825876;0.007233161;0.304963861
Olfm1;16.49911293;-1.792756798;0.007260611;0.305152437
Alkal1;34.97094588;0.846201071;0.007299044;0.305206859
Fmr1;288.2562411;-0.292027544;0.007325997;0.305206859
Dhcr24;24.27043424;-1.358181389;0.007330848;0.305206859
Rnase4;7.532203728;1.560880156;0.007601431;0.31548316
Sumo3;311.0919699;-0.276022865;0.007774895;0.321677215
2610008E11Rik;35.38940164;0.835530387;0.007862023;0.324271822
Txndc16;82.85424101;0.584770776;0.00790953;0.32428842
Fam3c;92.23960598;0.558942083;0.00791126;0.32428842
Adamts2;30.12881491;-1.159011925;0.007951312;0.324927315
Atp2b4;95.88614905;0.549204619;0.00800508;0.326121085
Anln;231.2266986;-0.329474559;0.008053453;0.327088404
Hcfc1;367.8823948;-0.246797146;0.008146576;0.329861832
Cavin2;70.30056813;-0.676309267;0.0082036;0.331161123
Tgfbr2;239.2371375;-0.321528752;0.008240083;0.331625875
Gbp7;15.7219808;1.153657925;0.008611723;0.34462415
Ppargc1a;17.69470082;1.099859271;0.008614955;0.34462415
Abca2;95.40791389;-0.556923364;0.008663467;0.345524046
Pfkfb3;71.25703845;0.616422571;0.00873404;0.347295752
Dnmt1;438.4818599;-0.217775459;0.008885048;0.351837977
Aff3;18.53161235;-1.584489845;0.008901254;0.351837977
Maob;9.504923753;1.401730169;0.009045469;0.35566761
Cgnl1;371.6484967;-0.241060618;0.009051702;0.35566761
Parm1;186.6910496;-0.367288796;0.0092397;0.36198366
Ccl7;201.0978837;-0.35060505;0.009313514;0.363802304
Zfp516;60.67608559;0.653862647;0.00944196;0.367738037
Cmklr1;9.803820726;1.376469866;0.009590184;0.372418831
Ybx3;290.2289611;-0.278094481;0.009697543;0.375489985
Ifi27l2a;5.977939467;1.658972413;0.010010732;0.386489923
Prpf8;637.0092296;-0.167206219;0.010059896;0.387262238
Cnr1;172.4635536;-0.376764129;0.010621098;0.407684386
Cdon;489.2943454;-0.196499181;0.010736585;0.410929655
Phf6;205.1628825;-0.338071647;0.010797123;0.412059153
Adarb1;71.49615603;0.599560624;0.011038297;0.420056213
Map4k3;87.99526895;0.54900027;0.011108681;0.421526853
Ctgf;51.23094123;0.688093482;0.011259447;0.42603051
Cpt1a;116.1513638;0.485712303;0.011673162;0.440429713
Mtdh;398.9079006;-0.220575595;0.0117116;0.440628211
Lrig1;253.8830892;-0.2907561;0.012149847;0.455825185
Adamts7;89.60931261;-0.546849649;0.012212081;0.456869432
Rdx;256.8720589;-0.286905726;0.012582101;0.469390107
Usp9x;435.4331108;-0.205325333;0.012772608;0.475162496
Isyna1;153.0352504;-0.392151781;0.01286559;0.477284652
Rpl6;574.7191004;-0.170639907;0.013052065;0.482853683
Olfml3;75.32203728;0.574798114;0.013099431;0.483259834
Vgll3;699.777594;0.230064373;0.013411491;0.492222079
Rpl14;176.9470082;-0.356448814;0.013416489;0.492222079
Oasl2;46.98660421;0.697382156;0.013647682;0.499324714
Sdc3;50.93204426;-0.755976949;0.013749788;0.50167838
Igfbp4;42.44337022;0.726735493;0.013801105;0.502016511
Flt4;12.13521712;-1.986998179;0.013845585;0.502016511
Gstm1;110.2332038;0.486338283;0.013872454;0.502016511
Cul4b;208.6300874;-0.31857288;0.01433703;0.516838878
Lgr6;20.2054354;-1.358488128;0.014405349;0.516838878
Vldlr;46.68770724;-0.790910739;0.014420178;0.516838878
Tpr;452.0517825;-0.1958158;0.014464847;0.516838878
Ctnnb1;472.3767767;-0.19027838;0.014476625;0.516838878
Nsun2;125.41717;-0.432748588;0.014573842;0.518914719
Rps6ka6;16.61867172;-1.551634647;0.014642359;0.519960362
Dhx9;438.4818599;-0.199026302;0.014727603;0.5215928
Fzd7;145.5030466;0.429224285;0.014878299;0.525528431
Fat4;100.1304861;0.501794197;0.014930379;0.525969143
Ncor1;322.4500549;-0.240669144;0.015181996;0.532922151
Laptm4a;455.2798698;0.268380156;0.015208004;0.532922151
F3;66.05623111;0.595798775;0.015322423;0.535518693
Acly;258.5458819;-0.275450932;0.015418574;0.537464792
Cxcl1;686.5065684;0.227987725;0.015501823;0.538952128
Cnn3;520.0209542;0.253613914;0.015727276;0.545362817
Itga11;14.04815775;-1.724248021;0.015801805;0.545702087
Gypc;63.78461411;0.602198034;0.015819238;0.545702087
Ppic;66.95292203;0.589395185;0.015956166;0.548999572
Tbx20;12.07543772;-1.927406325;0.01604115;0.549470578
Cbx5;694.0387721;-0.144220293;0.0160526;0.549470578
Adamts9;108.4996013;0.480320429;0.016164364;0.551873831
Ifitm3;192.0711951;0.378016099;0.016308964;0.555382957
Anxa6;197.3317818;0.373354607;0.016467198;0.559337227
Six1;74.78402273;0.560138601;0.016510605;0.559380978
Ifit2;157.0404698;0.409347711;0.016835709;0.568944157
Eef2;2237.602522;-0.056721487;0.017242771;0.581221412
Cdh13;24.50955181;-1.14869955;0.017424294;0.585853276
Fmo1;26.84094821;0.852659211;0.017689252;0.591791244
Cyr61;342.1772551;-0.225084436;0.017690018;0.591791244
Col5a1;464.7250142;0.261250535;0.017760431;0.592653994
Col4a2;1030.118529;0.192374991;0.017901242;0.595855621
Rbm20;39.33484169;0.723897791;0.018301935;0.607670008
Ccar1;263.5673511;-0.263177287;0.01838886;0.609033524
Boc;43.51939932;0.691780001;0.018726517;0.618673799
Snrnp200;322.0315991;-0.230726735;0.018946691;0.622753775
Frmd4a;150.4647364;-0.369116587;0.01895443;0.622753775
Amotl1;222.7978039;-0.290194655;0.0190008;0.622753775
Gm13230;2.869410944;2.031974692;0.019083826;0.622753775
Klhl29;11.53742317;-1.9141193;0.019115447;0.622753775
Sdha;234.9330211;-0.28046143;0.019131356;0.622753775
mt-Nd6;990.3652315;0.193622231;0.019186933;0.623035829
Set;395.6200339;-0.201486236;0.019342319;0.626481582
Clstn1;140.3022393;0.421205996;0.01938739;0.626481582
Eno2;47.22572179;0.665156144;0.019434688;0.626485674
Ccnd2;109.5756304;-0.444865621;0.019487404;0.626663954
Igsf3;34.7318283;0.755076352;0.01971287;0.632383157
Rassf2;18.95006811;0.968258031;0.020063627;0.641772641
Hnrnpk;658.4700323;-0.142473199;0.020102208;0.641772641
Atp11a;202.1141334;-0.302930288;0.020708345;0.658464111
Phc3;157.5784844;0.397731656;0.020724192;0.658464111
Map2;148.4920164;0.407382816;0.020837818;0.660494187
Plec;512.1898535;-0.167415824;0.02089321;0.660673163
Rpl3;413.5538523;-0.192444127;0.021006349;0.662672957
Tns2;139.4055484;0.417336574;0.021173555;0.666364894
Adamts12;12.43411409;1.138889896;0.021491664;0.673818318
Abca8b;18.35227416;0.971968172;0.021511857;0.673818318
Zfp518a;40.23153261;-0.802127475;0.021613147;0.674912701
Kmt5a;260.0403668;-0.256834605;0.021648431;0.674912701
Rtn4;428.8573774;-0.186624156;0.021712233;0.675047652
Rsl1d1;245.7530915;-0.26563974;0.021807448;0.675047652
Fam129a;76.75674276;0.533658687;0.021848662;0.675047652
Abr;43.04116416;-0.767502961;0.02186078;0.675047652
Marcksl1;114.2982026;-0.423787279;0.0219069;0.675047652
2810474O19Rik;359.1546032;-0.208469104;0.022119339;0.678487357
Eif4g1;1288.604632;-0.085007406;0.022120701;0.678487357
Tgfb2;142.7531945;0.41051595;0.022210916;0.679684747
Ahdc1;51.52983821;0.629287056;0.022290021;0.68053739
Emp1;244.6770624;-0.264921081;0.022389253;0.681703299
Dpt;11.2385262;-1.876251114;0.022430867;0.681703299
Mdn1;224.1129506;-0.279068986;0.022656565;0.68605159
Strap;209.8256753;-0.290608807;0.022677257;0.68605159
Gng2;26.24315426;0.831873633;0.022799682;0.687692176
Psat1;569.0400579;-0.152953368;0.022835046;0.687692176
Smad3;168.9365693;-0.330424171;0.023193548;0.696908382
Slit2;120.3957009;0.437951773;0.023254008;0.6971478
Eps8;43.45961993;-0.752638583;0.023348727;0.698410916
Adamts1;84.58784346;0.506712447;0.023618182;0.704883329
Sorbs2;31.92219675;-0.908427006;0.023800663;0.707242297
Rpl10;346.1824745;-0.210097595;0.023803728;0.707242297
Trabd2b;45.43233995;0.656233551;0.024088963;0.714119448
Cdkn2c;160.0294395;0.386844834;0.024176873;0.715129291
Pdia6;344.9868866;0.282349121;0.024348766;0.715678761
Dnm3;40.76954717;-0.775932176;0.024369227;0.715678761
Chrdl1;63.60527593;0.568607518;0.024400508;0.715678761
Prune2;195.8372969;0.35523481;0.02447422;0.715678761
